index,launch_datetime,rocket,rocket_state,flight_number,launch_site,launch_site_state,lsp,lsp_state,payload,payload_state,payload_perator,payload_orbit,payload_function,payload_decay,payload_outcome,year,table_n,flight_n
44,1968-04-25 00:00:00,R-36-0,Soviet Union,,"Site 162/36, Baikonur",Soviet Union,,,Kosmos 218 (OGCh #17),Soviet Union,,Low Earth Orbit,,In orbit,Successful,1968,4,5999
47,1968-04-26 00:00:00,Kosmos 2,Soviet Union,,Kapustin Yar,Soviet Union,,,Kosmos 219 (DS-U2-D #2),Soviet Union,,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,4,6000
0,1968-05-01 00:00:00,Thorad-SLV2G Agena-D,United States,,Vandenberg SLC-3W,United States,,,OPS 1413 KH-4B 1103,United States,,Low Earth,Reconnaissance,In orbit,Successful,1968,5,6001
3,1968-05-07 00:00:00,Kosmos 3M,Soviet Union,,Plesetsk,Soviet Union,,,Kosmos 220 (Zaliv #2),Soviet Union,,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,5,6002
6,1968-05-17 00:00:00,Scout B,United States,,Vandenberg SLC-5,United States,,,ESRO 2B (Iris 2),United States,ESRO,Low Earth Orbit,Research,In orbit,Successful,1968,5,6003
9,1968-05-18 00:00:00,Thorad-SLV2G Agena-D,United States,,Vandenberg SLC-2E,United States,,,Nimbus B,United States,NASA/NOAA,Low Earth,Meteorology,In orbit,Failure,1968,5,6004
9,1968-05-18 00:00:00,Thorad-SLV2G Agena-D,United States,,Vandenberg SLC-2E,United States,,,SECOR 10,United States,US Army,Low Earth,Geodesy,In orbit,Failure,1968,5,6004
13,1968-05-23 00:00:00,Thor LV-2F Burner 2,United States,,Vandenberg SLC-10W,United States,,,OPS 7869 DMSP-4B F1,United States,,Low Earth,Meteorology,In orbit,Successful,1968,5,6005
16,1968-05-24 00:00:00,Kosmos 2,Soviet Union,,Kapustin Yar,Soviet Union,,,Kosmos 221 (DS-P1-Yu #13),Soviet Union,,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,5,6006
19,1968-05-30 00:00:00,Kosmos 2,Soviet Union,,Plesetsk Site 133/1,Soviet Union,,,Kosmos 222 (DS-P1-Yu #14),Soviet Union,,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,5,6007
0,1968-06-01 00:00:00,Voskhod,Soviet Union,,"Site 41/1, Plesetsk",Soviet Union,,,Kosmos 223 (Zenit-2 #62),Soviet Union,GRU,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,6,6008
3,1968-06-04 00:00:00,Voskhod,Soviet Union,,"Site 31/6, Baikonur",Soviet Union,,,Kosmos 224 (Zenit-4 #41),Soviet Union,GRU,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,6,6009
6,1968-06-04 00:00:00,Kosmos 3M,Soviet Union,,Plesetsk Site 132/2,Soviet Union,,,Sfera #2,Soviet Union,,Low Earth Orbit,Geodesy,In orbit,Failure,1968,6,6010
