id,mechanics
2223,Take That
2240,Take That
2240,Matching
2240,Hand Management
2240,Lose a Turn
2243,Dice Rolling
2243,Paper-and-Pencil
2243,Push Your Luck
2243,Re-rolling and Locking
2243,Set Collection
2251,Simulation
2251,Dice Rolling
2266,Pattern Recognition
2266,Pattern Building
2272,Roll / Spin and Move
2281,Roll / Spin and Move
2281,Drawing
2281,Team-Based Game
2290,Secret Unit Deployment
2290,Static Capture
2290,Square Grid
2290,Grid Movement
2322,Roll / Spin and Move
2338,Push Your Luck
2338,Memory
2338,Trading
2338,Dice Rolling
2346,Map Reduction
2346,Grid Movement
2371,Set Collection
2371,Dice Rolling
2375,Hand Management
2375,Pattern Building
2375,Take That
2375,Team-Based Game
2379,Acting
2379,Roll / Spin and Move
2379,Role Playing
2379,Team-Based Game
2381,Dice Rolling
2381,Paper-and-Pencil
2392,Induction
2452,Single Loser Game
2452,Stacking and Balancing
2452,Physical Removal
2453,Grid Coverage
2453,Chaining
2453,Hand Management
2453,Tile Placement
2453,Enclosure
2464,Zone of Control
2464,Variable Player Powers
2464,Simulation
2464,Role Playing
2464,Hexagon Grid
2464,Action Points
2471,Dice Rolling
2471,Grid Movement
2471,Roll / Spin and Move
2471,Modular Board
2471,Hand Management
2507,Area Majority / Influence
2507,Auction/Bidding
2507,Hand Management
2507,Open Drafting
2511,Deduction
2511,Solo / Solitaire Game
2511,Narrative Choice / Paragraph
2511,Cooperative Game
2511,Storytelling
2536,Betting and Bluffing
2541,Dice Rolling
2541,Roll / Spin and Move
2569,Simultaneous Action Selection
2569,Hand Management
2569,Dice Rolling
2578,Paper-and-Pencil
2578,Dice Rolling
2578,Push Your Luck
2578,Set Collection
2578,Re-rolling and Locking
2582,Hot Potato
2593,Push Your Luck
2593,Dice Rolling
2593,Betting and Bluffing
2596,Pattern Building
2596,Stacking and Balancing
2596,Physical Removal
2596,Dice Rolling
2604,Simultaneous Action Selection
2604,Team-Based Game
2629,Grid Movement
2629,Memory
2629,Variable Set-up
2633,Movement Points
2633,Track Movement
2633,Team-Based Game
2633,Hand Management
2633,Take That
2651,Auction: Turn Order Until Pass
2651,Auction/Bidding
2651,Catch the Leader
2651,Income
2651,Market
2651,Network and Route Building
2652,Voting
2652,Simultaneous Action Selection
2652,Paper-and-Pencil
2653,Action Points
2653,Memory
2653,Map Reduction
2653,Hexagon Grid
2653,Grid Movement
2653,Dice Rolling
2655,Pieces as Map
2655,Pattern Movement
2655,Score-and-Reset Game
2655,Enclosure
2655,Grid Movement
2655,Hexagon Grid
2679,Roll / Spin and Move
2679,Race
2719,Pattern Building
2728,Secret Unit Deployment
2767,Dice Rolling
2770,Unknown
2792,Set Collection
2794,Unknown
2808,Ratio / Combat Results Table
2808,Grid Movement
2808,Hexagon Grid
2808,Dice Rolling
2808,Movement Points
2808,Multiple Maps
2818,Hand Management
2818,Matching
2818,Take That
2842,Connections
2842,Race
2842,Score-and-Reset Game
2843,Set Collection
2884,Point to Point Movement
2884,Secret Unit Deployment
2911,Enclosure
2911,Area Majority / Influence
2911,Network and Route Building
2921,Events
2921,Roll / Spin and Move
2921,Simulation
2922,Stacking and Balancing
2944,Player Elimination
2944,Pattern Recognition
2952,Set Collection
2952,Roll / Spin and Move
2955,Action Points
2955,Area Majority / Influence
2955,Enclosure
2955,Square Grid
2955,Tile Placement
2955,Grid Movement
2965,Point to Point Movement
2978,Team-Based Game
2978,Secret Unit Deployment
2978,Area Movement
2978,Memory
2987,Hand Management
2987,Pick-up and Deliver
2987,Simultaneous Action Selection
2987,Dice Rolling
3076,Follow
3076,Action Drafting
3076,Increase Value of Unchosen Resources
3076,Hidden Victory Points
3076,Turn Order: Progressive
3076,End Game Bonuses
3084,Trading
3084,Pick-up and Deliver
3085,Hand Management
3085,Trick-taking
3085,Ladder Climbing
3085,Set Collection
3093,Grid Movement
3097,Auction/Bidding
3097,Stock Holding
3097,Tile Placement
3097,Network and Route Building
3097,Investment
3141,Hand Management
3141,Take That
3181,Dice Rolling
3181,Paper-and-Pencil
3181,Push Your Luck
3181,Re-rolling and Locking
3181,Set Collection
3190,Pattern Building
3190,Square Grid
3190,Tile Placement
3201,Hand Management
3201,Secret Unit Deployment
3201,Memory
3201,Card Play Conflict Resolution
3201,Simultaneous Action Selection
3201,Area Movement
3228,Enclosure
3228,Tile Placement
3242,Player Elimination
3242,Dice Rolling
3243,Player Elimination
3243,Enclosure
3243,Hand Management
3243,Tile Placement
3284,Player Elimination
3284,Roll / Spin and Move
3284,Variable Player Powers
3284,Campaign / Battle Card Driven
3318,Tug of War
3318,Hand Management
3319,Pattern Building
3319,Point to Point Movement
3337,Take That
3337,Player Elimination
3347,Hand Management
3347,Lose a Turn
3347,Take That
3347,Matching
3377,Unknown
3383,Push Your Luck
3383,Roll / Spin and Move
3383,Dice Rolling
3406,Grid Movement
3406,Pattern Building
3406,Static Capture
3406,Square Grid
3421,Roll / Spin and Move
3421,Dice Rolling
3421,Grid Movement
3422,Hand Management
3422,Set Collection
3439,Action Points
3439,Variable Player Powers
3439,Dice Rolling
3522,Dice Rolling
3534,Commodity Speculation
3534,Trading
3565,Variable Player Powers
3565,Role Playing
3565,Modular Board
3565,Measurement Movement
3565,Dice Rolling
3570,Memory
3586,Memory
3597,Simulation
3632,Set Collection
3632,Take That
3632,Trick-taking
3632,Hand Management
3685,Campaign / Battle Card Driven
3685,Area Movement
3685,Area-Impulse
3685,Secret Unit Deployment
3685,Dice Rolling
3685,Hand Management
3699,Action Queue
3699,Finale Ending
3699,Set Collection
3699,Take That
3699,Dice Rolling
3699,Hand Management
3706,Tile Placement
3711,Movement Points
3711,Dice Rolling
3711,Paper-and-Pencil
3711,Impulse Movement
3711,Hexagon Grid
3711,Grid Movement
3720,Simulation
3720,Flicking
3728,Three Dimensional Movement
3728,Highest-Lowest Scoring
3728,Stacking and Balancing
3728,Physical Removal
3728,Single Loser Game
3737,Simulation
3737,Physical Removal
3804,Pattern Recognition
3818,Team-Based Game
3818,Acting
3818,Point to Point Movement
3818,Race
3837,Memory
3837,Open Drafting
3837,Take That
3837,Push Your Luck
3845,Set Collection
3845,Dice Rolling
3874,Pattern Recognition
3874,Induction
3889,Memory
3889,Push Your Luck
3934,Die Icon Resolution
3934,Dice Rolling
3934,Solo / Solitaire Game
3934,Set Collection
3945,Roll / Spin and Move
3955,Player Elimination
3955,Kill Steal
3955,Hot Potato
3955,Hidden Roles
3955,Hand Management
3955,Take That
3986,Grid Movement
3986,Hexagon Grid
3986,Movement Points
3986,Dice Rolling
3986,Scenario / Mission / Campaign Game
3986,Ratio / Combat Results Table
4008,Dice Rolling
4008,Ratio / Combat Results Table
4008,Events
4008,Movement Points
4008,Hexagon Grid
4008,Grid Movement
4040,Pattern Building
4040,Tile Placement
4040,Hand Management
4095,Dice Rolling
4095,Open Drafting
4095,Take That
4095,Trading
4095,Variable Player Powers
4098,Loans
4098,Dice Rolling
4098,Connections
4098,Catch the Leader
4098,Auction/Bidding
4098,Network and Route Building
4112,Network and Route Building
4112,Hexagon Grid
4123,Betting and Bluffing
4123,Roll / Spin and Move
4143,Deduction
