id,categories
2223,Children's Game
2223,Comic Book / Strip
2223,Movies / TV / Radio theme
2223,Number
2240,Humor
2240,Card Game
2240,Comic Book / Strip
2243,Dice
2243,Movies / TV / Radio theme
2243,Music
2243,Travel
2243,Children's Game
2243,Comic Book / Strip
2251,Sports
2266,Abstract Strategy
2266,Memory
2272,Unknown
2281,Party Game
2290,Horror
2290,Deduction
2290,Bluffing
2290,Children's Game
2322,Racing
2322,Abstract Strategy
2338,Space Exploration
2338,Exploration
2338,Card Game
2338,Science Fiction
2346,Abstract Strategy
2371,Dice
2375,Card Game
2375,Abstract Strategy
2379,Card Game
2379,Word Game
2379,Party Game
2381,Word Game
2381,Real-time
2381,Party Game
2392,Deduction
2392,Abstract Strategy
2452,Action / Dexterity
2452,Party Game
2453,Territory Building
2453,Abstract Strategy
2464,Wargame
2464,Adventure
2464,Fantasy
2471,Horror
2471,Zombies
2471,Miniatures
2471,Exploration
2471,Fighting
2471,Movies / TV / Radio theme
2507,Political
2507,Napoleonic
2511,Spies/Secret Agents
2511,Post-Napoleonic
2511,Novel-based
2511,Murder/Mystery
2511,Deduction
2536,Bluffing
2541,Science Fiction
2541,Dice
2541,Animals
2569,Animals
2569,Card Game
2569,Children's Game
2569,Negotiation
2578,Dice
2582,Party Game
2582,Word Game
2593,Animals
2593,Dice
2593,Party Game
2596,Party Game
2596,Action / Dexterity
2596,Children's Game
2604,Party Game
2604,Card Game
2604,Word Game
2629,Ancient
2629,Children's Game
2629,Exploration
2629,Memory
2629,Mythology
2633,Card Game
2651,Economic
2651,Industry / Manufacturing
2652,Party Game
2652,Bluffing
2652,Word Game
2653,Animals
2653,Adventure
2653,Bluffing
2653,Nautical
2655,Animals
2655,Abstract Strategy
2679,Children's Game
2679,Animals
2679,Action / Dexterity
2719,Children's Game
2719,Abstract Strategy
2719,Animals
2728,Electronic
2728,Abstract Strategy
2767,Children's Game
2767,Dice
2767,Racing
2770,Abstract Strategy
2792,Animals
2792,Party Game
2792,Memory
2792,Children's Game
2794,Action / Dexterity
2808,Wargame
2808,World War II
2818,Card Game
2818,Electronic
2842,Trains
2843,Card Game
2884,Deduction
2884,Maze
2884,Abstract Strategy
2911,Abstract Strategy
2911,Territory Building
2921,Electronic
2921,Economic
2921,Children's Game
2922,Children's Game
2922,Action / Dexterity
2944,Real-time
2944,Party Game
2944,Children's Game
2944,Action / Dexterity
2944,Card Game
2952,Trivia
2952,Party Game
2955,Territory Building
2955,City Building
2955,Abstract Strategy
2965,Abstract Strategy
2965,Medieval
2965,Fighting
2978,Bluffing
2978,Memory
2978,Deduction
2978,Napoleonic
2978,Abstract Strategy
2987,Pirates
2987,Adventure
2987,Fighting
