id,subdomain
55834,Family Games
55834,Abstract Games
55835,Children's Games
55835,Family Games
56692,Family Games
56707,Strategy Games
56758,Strategy Games
56786,Family Games
56796,Abstract Games
56885,Party Games
56931,Strategy Games
56933,Family Games
57141,Wargames
57141,Thematic Games
57660,Party Games
57759,Strategy Games
57759,Family Games
57925,Strategy Games
57925,Family Games
58421,Strategy Games
58602,Family Games
58798,Family Games
59223,Children's Games
59294,Strategy Games
59294,Thematic Games
59309,Children's Games
59753,Strategy Games
59946,Thematic Games
59959,Thematic Games
59959,Strategy Games
60316,Family Games
60435,Family Games
60435,Thematic Games
61470,Family Games
61692,Wargames
62219,Strategy Games
62220,Strategy Games
62222,Wargames
62227,Wargames
62227,Strategy Games
62230,Wargames
62871,Party Games
63170,Strategy Games
63268,Party Games
63628,Strategy Games
63706,Family Games
63759,Strategy Games
63759,Family Games
63888,Strategy Games
63975,Family Games
64204,Party Games
64220,Children's Games
65244,Family Games
65262,Children's Games
65282,Strategy Games
65515,Family Games
65532,Thematic Games
65564,Wargames
65611,Party Games
65781,Strategy Games
65814,Children's Games
65814,Family Games
65901,Strategy Games
66056,Strategy Games
66171,Family Games
66188,Strategy Games
66188,Family Games
66356,Thematic Games
66362,Strategy Games
66505,Strategy Games
66551,Unknown
66588,Party Games
66588,Family Games
66589,Strategy Games
66590,Family Games
66797,Children's Games
66798,Family Games
66837,Strategy Games
67026,Children's Games
67185,Family Games
67239,Strategy Games
67600,Wargames
67823,Children's Games
67877,Party Games
67888,Family Games
67888,Strategy Games
67928,Strategy Games
68182,Family Games
68199,Abstract Games
68425,Strategy Games
68448,Strategy Games
68448,Family Games
68820,Wargames
69601,Strategy Games
69779,Wargames
69779,Strategy Games
69789,Strategy Games
70096,Unknown
70149,Strategy Games
70323,Family Games
70512,Strategy Games
70919,Family Games
71021,Family Games
71061,Thematic Games
71074,Strategy Games
71671,Strategy Games
71671,Thematic Games
71721,Thematic Games
71836,Family Games
72125,Strategy Games
72287,Strategy Games
72321,Strategy Games
72420,Family Games
72420,Party Games
72667,Abstract Games
72957,Unknown
72991,Family Games
72991,Strategy Games
73313,Abstract Games
73313,Family Games
73365,Family Games
73439,Strategy Games
73538,Family Games
73538,Party Games
73664,Family Games
73664,Abstract Games
73761,Family Games
73761,Thematic Games
75165,Strategy Games
75223,Thematic Games
75223,Strategy Games
75358,Strategy Games
75360,Strategy Games
75449,Strategy Games
75449,Family Games
75547,Strategy Games
75587,Unknown
76150,Thematic Games
76322,Unknown
77130,Strategy Games
77423,Customizable Games
79127,Thematic Games
79828,Wargames
79828,Strategy Games
80006,Family Games
80771,Family Games
80771,Thematic Games
81250,Unknown
81453,Family Games
81453,Strategy Games
82168,Strategy Games
82168,Thematic Games
82222,Strategy Games
82222,Thematic Games
82424,Family Games
83092,Wargames
83195,Family Games
83195,Party Games
83196,Unknown
83197,Family Games
83330,Thematic Games
83629,Family Games
84419,Wargames
84464,Children's Games
84465,Wargames
84469,Strategy Games
84732,Family Games
84838,Strategy Games
84876,Strategy Games
84889,Thematic Games
85005,Family Games
85250,Family Games
85256,Family Games
85325,Family Games
86073,Party Games
86156,Party Games
86415,Unknown
87890,Strategy Games
88126,Party Games
88140,Abstract Games
88594,Family Games
88922,Family Games
89415,Family Games
89910,Thematic Games
89972,Unknown
90004,Unknown
90009,Party Games
90040,Strategy Games
90040,Family Games
90050,Family Games
90137,Thematic Games
90305,Family Games
90419,Family Games
90419,Strategy Games
90474,Family Games
91034,Abstract Games
91080,Wargames
91189,Family Games
91312,Thematic Games
91430,Unknown
91514,Family Games
91514,Children's Games
91523,Family Games
91534,Family Games
91536,Strategy Games
91620,Family Games
91671,Children's Games
91872,Thematic Games
91873,Strategy Games
91984,Strategy Games
92319,Strategy Games
92415,Party Games
92497,Children's Games
92497,Party Games
92643,Family Games
92643,Abstract Games
92644,Children's Games
92828,Party Games
93185,Family Games
93185,Abstract Games
93260,Customizable Games
93260,Strategy Games
93541,Family Games
93594,Unknown
93688,Children's Games
93724,Strategy Games
93971,Family Games
94104,Strategy Games
94362,Strategy Games
94362,Thematic Games
94389,Abstract Games
94389,Family Games
94481,Unknown
94483,Children's Games
94486,Unknown
94731,Family Games
94746,Abstract Games
94902,Unknown
95064,Strategy Games
95103,Thematic Games
95105,Thematic Games
95105,Family Games
95386,Party Games
95527,Strategy Games
95800,Abstract Games
96007,Strategy Games
96026,Strategy Games
96713,Family Games
96792,Thematic Games
96792,Strategy Games
96848,Thematic Games
96848,Strategy Games
96913,Strategy Games
97207,Strategy Games
97207,Thematic Games
97357,Family Games
97357,Strategy Games
97786,Family Games
97786,Strategy Games
97842,Strategy Games
97903,Family Games
98085,Family Games
98122,Children's Games
98229,Party Games
98315,Thematic Games
98315,Family Games
98351,Strategy Games
98527,Thematic Games
98778,Family Games
98918,Thematic Games
99081,Family Games
99219,Family Games
99219,Abstract Games
99358,Wargames
99437,Party Games
99437,Family Games
99808,Abstract Games
99875,Family Games
99975,Family Games
100423,Thematic Games
100679,Party Games
100901,Family Games
100901,Thematic Games
101020,Strategy Games
101721,Customizable Games
101737,Children's Games
101785,Thematic Games
101785,Wargames
101796,Party Games
102104,Family Games
102104,Party Games
102148,Family Games
102181,Party Games
102181,Abstract Games
102237,Strategy Games
102237,Thematic Games
102275,Thematic Games
102435,Wargames
102548,Party Games
102652,Thematic Games
102680,Strategy Games
102792,Unknown
102794,Strategy Games
102898,Family Games
103092,Strategy Games
103184,Strategy Games
103185,Strategy Games
103343,Strategy Games
103649,Family Games
103814,Family Games
103885,Wargames
